Flux Redshift and uncertainties
-,z,+
0.008775525456099942,0.38,0.008775525456099942

Best Fitting Parameters for the Flux Plot
Parameter,Value,Uncertainty
amplitude,0.7916647703874683,6.131152777483537
standard deviation,0.6666666666665286,1.7993562192008317

Redshift,Chi-squared
1.96,0.24580156683993784
1.97,0.24580156683985172
1.98,0.24580156683985172
1.99,0.24580156683985252
2.0,0.24580156683985305
2.0100000000000002,0.2965102365343385
2.02,0.2965102365343906
2.0300000000000002,0.2962867456439593
2.04,0.29651023653117436
2.05,0.29632757762511136
2.06,0.2965102365359248
2.07,0.29651023653440367
2.08,0.29481729114231237
2.09,0.2958212529700786
2.1,0.2965102365479522
2.11,0.29651023653425723
2.12,0.29581975454010223
2.13,0.293003427381363
2.14,0.29466722238749277
2.15,0.2949691264418361
2.16,0.29373525096935765
2.17,0.2941809529513128
2.18,0.2938474431577017
2.19,0.29346006073456726
2.2,0.29328414893455323
2.21,0.2942858324893124
2.22,0.2959799309500371
2.23,0.2968415628852248
2.24,0.2963135849012592
2.25,0.2956970959590072
